SystemMillis,BMETemperature,BMEPressure,BMEApproximateAlt,BNO Quat W, BNO Quat X,BNO Quat Y,BNO Quat Z,BNO Gyro X,BNO Gyro Y,BNO Gyro Z,BNO Accel X,BNO Accel Y,BNO Accel Z,BNO_Grav_X,BNO_Grav_Y,BNO_Grav_Z,BNO CALIBRATION sys,BNOGyro,BNOAccel,BNOMagnitude,ALGOPos1,ALGOPos2,GPSHour,GPSmin,GPSsec,GPSmilli,GPSday,GPSmonth,GPSyear,GPSFix,GPSfixquality_3d,GPSLat,GPSlong,GPSSpeed,GPSAngle,GPSAlt,GPSSatNum
24559,35.62,807.95,1869.51,0.4139,-0.5890,0.3859,0.5770,-20.19,0.00,0.19,-9.79,0.17,0.30,-9.79,-0.41,0.08,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
25060,35.59,808.06,1868.36,0.3962,-0.5795,0.3843,0.5997,4.50,-1.00,0.81,-9.94,0.35,0.00,-9.80,0.01,0.32,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
25560,35.57,808.14,1867.55,0.4021,-0.5816,0.3839,0.5939,-4.62,0.06,7.37,-9.82,-1.26,-0.10,-9.80,-0.11,0.28,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
26061,35.56,808.24,1866.56,0.3763,-0.5811,0.3868,0.6092,-4.75,-0.37,5.94,-9.75,1.01,0.06,-9.79,0.36,0.24,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
26562,35.54,808.32,1865.84,0.3544,-0.5792,0.3948,0.6189,6.31,-1.25,-0.50,-9.75,-0.43,0.05,-9.77,0.76,0.17,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
27063,35.51,808.37,1865.27,0.3697,-0.5934,0.3582,0.6188,-18.25,1.25,0.50,-9.82,-0.22,0.54,-9.79,0.04,0.38,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
27563,35.49,808.46,1864.38,0.3522,-0.6133,0.3469,0.6160,12.81,2.06,-7.25,-9.72,0.35,-0.35,-9.80,-0.04,0.06,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
28064,35.46,808.55,1863.46,0.3543,-0.6255,0.3353,0.6089,-19.81,2.56,-0.88,-9.64,-0.09,0.23,-9.80,-0.34,-0.07,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
28564,35.44,808.64,1862.55,0.3446,-0.6287,0.3334,0.6122,8.19,0.37,-2.31,-9.64,0.23,0.13,-9.80,-0.24,-0.12,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
29066,35.42,808.76,1861.45,0.3309,-0.6284,0.3290,0.6224,-5.94,-1.44,2.75,-9.70,-0.11,0.32,-9.80,-0.06,-0.06,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
29566,35.39,808.87,1860.31,0.3154,-0.6252,0.3220,0.6371,-3.12,0.19,2.69,-9.83,0.17,-0.07,-9.80,0.15,0.10,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
30067,35.36,808.97,1859.32,0.2975,-0.6266,0.3184,0.6462,-11.63,-1.75,2.31,-9.70,0.23,-0.03,-9.79,0.38,0.12,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
30568,35.34,809.08,1858.17,0.2850,-0.6382,0.2877,0.6548,-3.56,-1.69,-0.69,-9.68,-0.34,0.01,-9.80,0.11,0.19,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
31068,35.33,809.17,1857.27,0.2767,-0.6443,0.2726,0.6588,1.62,-0.37,-0.81,-9.78,0.23,0.24,-9.80,0.02,0.20,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
31569,35.32,809.24,1856.60,0.2685,-0.6560,0.2593,0.6560,1.06,1.12,-2.25,-9.80,0.10,0.03,-9.80,-0.11,0.04,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
32069,35.31,809.34,1855.65,0.2509,-0.6661,0.2545,0.6546,-9.56,2.87,0.00,-9.79,0.19,0.00,-9.80,-0.01,-0.16,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
32569,35.29,809.45,1854.48,0.2435,-0.6680,0.2505,0.6570,-15.25,2.37,2.44,-9.80,-0.06,0.23,-9.80,0.03,-0.17,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
33069,35.26,809.54,1853.61,0.2266,-0.6714,0.2427,0.6625,-6.37,-0.37,-0.13,-9.69,0.27,-0.32,-9.80,0.16,-0.19,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
33569,35.25,809.69,1852.16,0.2089,-0.6705,0.2108,0.6799,-14.00,-1.31,-0.56,-10.00,-0.07,0.32,-9.80,0.06,0.11,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
34071,35.21,809.77,1851.30,0.1921,-0.6736,0.1886,0.6884,-19.25,-4.06,1.31,-10.03,0.16,-0.10,-9.80,0.00,0.21,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
34571,35.19,809.86,1850.40,0.1750,-0.6761,0.1629,0.6969,-9.81,-1.69,-3.37,-9.72,0.01,0.46,-9.80,-0.09,0.32,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
35072,35.15,809.94,1849.57,0.1580,-0.6810,0.1430,0.7006,-16.56,-1.00,1.62,-10.06,0.26,-0.01,-9.80,-0.14,0.30,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
35574,35.13,810.04,1848.59,0.1431,-0.6866,0.1376,0.6994,-0.88,0.19,-1.62,-9.88,-0.02,0.27,-9.80,-0.04,0.18,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
36074,35.10,810.12,1847.86,0.1238,-0.6940,0.1186,0.6992,-13.69,-2.06,0.81,-9.78,0.20,-0.11,-9.80,-0.05,0.08,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
36575,35.08,810.20,1847.05,0.1075,-0.6956,0.1033,0.7028,-5.00,0.56,-1.25,-9.71,-0.07,0.02,-9.80,-0.04,0.10,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
37075,35.05,810.27,1846.33,0.0861,-0.6970,0.0809,0.7073,-6.19,-2.06,0.81,-9.84,0.12,-0.09,-9.80,-0.05,0.15,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
37576,35.03,810.38,1845.23,0.0715,-0.6987,0.0632,0.7091,-1.69,0.19,-1.75,-9.73,-0.29,0.14,-9.80,-0.10,0.15,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
38076,35.01,810.44,1844.60,0.0533,-0.7010,0.0429,0.7098,-4.00,-2.06,-0.88,-9.78,-0.01,-0.02,-9.80,-0.13,0.13,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
38576,34.98,810.56,1843.40,0.0328,-0.7001,0.0229,0.7129,-8.75,-2.25,0.13,-9.79,-0.31,0.20,-9.80,-0.13,0.18,0,0,0,1,0.00,0.00,,,,,,,,,,,,,,,
39077,34.96,810.66,1842.43,0.0162,-0.7002,0.0087,0.7137,-3.62,0.25,-0.81,-9.61,0.32,0.36,-9.80,-0.10,0.18,0,0,0,1,981.33,0.00,,,,,,,,,,,,,,,
39578,34.95,810.72,1841.85,-0.0035,-0.7002,-0.0035,0.7139,-10.44,-0.06,3.12,-9.70,-0.16,0.18,-9.80,0.00,0.19,0,0,0,1,981.33,0.00,,,,,,,,,,,,,,,
40078,34.93,810.82,1840.86,-0.0287,-0.6998,-0.0198,0.7134,2.06,-1.06,-1.75,-9.71,0.26,0.04,-9.80,0.11,0.19,0,0,0,1,981.33,0.00,,,,,,,,,,,,,,,
40578,34.91,810.90,1840.08,-0.0413,-0.7019,-0.0310,0.7104,-15.81,3.37,3.12,-9.86,0.15,0.13,-9.80,0.14,0.12,0,0,0,1,981.33,0.00,,,,,,,,,,,,,,,
